iter	Passed	Remaining
0	0	196
1	0	159
2	1	198
3	1	181
4	1	181
5	2	179
6	2	172
7	3	201
8	3	194
9	3	188
10	4	186
11	4	187
12	5	193
13	5	195
14	5	192
15	6	190
16	6	189
17	6	187
18	7	183
19	7	182
20	7	180
21	8	178
22	8	180
23	9	186
24	10	191
25	10	191
26	10	189
27	11	191
28	11	194
29	12	195
30	12	194
31	15	221
32	15	223
33	16	229
34	17	230
35	17	227
36	17	225
37	18	225
38	18	224
39	19	223
40	20	226
41	20	224
42	21	224
43	21	222
44	22	223
45	22	223
46	22	221
47	23	220
48	24	222
49	24	222
50	25	221
51	25	221
52	26	220
53	26	219
54	26	218
55	27	218
56	28	219
57	28	219
58	29	220
59	30	222
60	31	226
61	32	226
62	32	226
63	33	225
64	33	224
65	34	223
66	34	223
67	35	223
68	35	222
69	36	221
70	36	221
71	37	220
72	37	219
73	37	217
74	38	217
75	38	215
76	39	214
77	39	213
78	39	212
79	40	210
80	40	209
81	40	208
82	41	207
83	41	205
84	42	208
85	43	207
86	43	207
87	44	207
88	44	206
89	45	206
90	45	205
91	46	204
92	46	203
93	47	203
94	47	202
95	48	202
96	48	202
97	49	201
98	49	200
99	50	200
100	50	199
101	50	198
102	51	197
103	51	196
104	51	194
105	52	193
106	52	192
107	52	191
108	53	191
109	53	190
110	54	189
111	54	188
112	54	187
113	55	187
114	55	186
115	56	185
116	56	184
117	56	183
118	57	183
119	57	183
120	58	182
121	58	181
122	58	180
123	59	179
124	59	178
125	59	177
126	60	177
127	60	176
128	61	175
129	61	174
130	61	173
131	61	172
132	62	171
133	62	171
134	62	169
135	63	168
136	63	168
137	63	167
138	64	166
139	64	165
140	64	164
141	65	163
142	65	163
143	65	161
144	65	161
145	66	160
146	66	159
147	66	158
148	66	157
149	67	156
150	67	155
151	67	154
152	67	154
153	68	153
154	68	152
155	68	151
156	68	150
157	69	149
158	69	149
159	69	148
160	70	147
161	70	147
162	70	146
163	71	145
164	71	144
165	71	144
166	72	144
167	72	143
168	73	143
169	73	142
170	73	141
171	73	141
172	74	140
173	74	139
174	74	139
175	75	138
176	75	137
177	75	137
178	76	136
179	76	136
180	77	135
181	77	134
182	77	135
183	78	134
184	78	133
185	79	133
186	79	132
187	79	132
188	79	131
189	80	130
190	80	130
191	80	129
192	81	128
193	81	128
194	81	127
195	81	127
196	82	126
197	82	125
198	82	125
199	83	124
200	83	124
201	83	123
202	84	122
203	84	122
204	84	121
205	84	121
206	85	120
207	85	119
208	85	119
209	86	118
210	86	118
211	86	117
212	86	117
213	87	116
214	87	116
215	87	115
216	88	114
217	88	114
218	88	113
219	89	113
220	89	112
221	89	112
222	89	111
223	90	111
224	90	110
225	90	110
226	91	109
227	91	109
228	91	108
229	92	108
230	92	107
231	92	107
232	93	106
233	93	106
234	93	105
235	93	105
236	94	104
237	94	104
238	95	103
239	95	103
240	95	102
241	95	102
242	96	101
243	96	101
244	96	100
245	96	100
246	97	99
247	97	99
248	98	98
249	98	98
250	98	97
