feature,med_NEG,med_POS,cliffs_delta,p_mannwhitney,n_NEG,n_POS
theta_beta_ratio_AF8__median,0.5759576299193404,1.0204073599999117,-0.51,0.026303330084128804,20,10
theta_beta_ratio_AF7__median,0.5287247384248259,1.2316283783861404,-0.45,0.05026064814901436,20,10
theta_beta_ratio_AF8__iqr,0.35157342331421193,0.531242798351995,-0.41,0.07478797848506981,20,10
theta_rel_AF8__iqr,0.05225345777219355,0.057481608975236104,-0.4,0.08225164615120802,20,10
alpha_rel_AF7__iqr,0.036717716676063994,0.0458884925609689,-0.39,0.09030820256797849,20,10
theta_beta_ratio_AF7__iqr,0.36851694271707636,0.5610290833354304,-0.34,0.14053450408595755,20,10
alpha_rel_AF8__iqr,0.0352704385400643,0.0393297426698329,-0.28,0.22634079342614988,20,10
theta_rel_AF7__iqr,0.05085152514444935,0.0644191297663235,-0.27,0.24367729558356666,20,10
frontal_alpha_asym__median,-0.030128378025281552,-0.04185983660571485,0.19,0.4157071172105755,20,10
theta_rel_AF8__median,0.135984913881908,0.1394587003390531,-0.15,0.5235290451686408,20,10
theta_rel_AF7__median,0.13679155737819104,0.1490485538673321,-0.09,0.7084414093482762,20,10
frontal_alpha_asym__iqr,0.5385840023791022,0.49921810720797866,-0.06,0.8088051604661488,20,10
alpha_rel_AF8__median,0.09050666300143875,0.09582047174523535,0.03,0.9124210043205884,20,10
alpha_rel_AF7__median,0.09785024257906855,0.10546088576619145,-0.01,0.9824502949659324,20,10
