feature,p_kruskal
theta_beta_ratio_AF8__median,0.003575628459328953
theta_beta_ratio_AF7__median,0.024865543340705235
theta_rel_AF8__median,0.026881492517985106
alpha_rel_AF7__iqr,0.03514427005722811
theta_beta_ratio_AF8__iqr,0.03806876185621651
alpha_rel_AF8__iqr,0.16088850249993158
theta_rel_AF7__median,0.19162423981324855
theta_beta_ratio_AF7__iqr,0.2599091591926896
theta_rel_AF8__iqr,0.28010677440905113
alpha_rel_AF7__median,0.30413864771552523
theta_rel_AF7__iqr,0.4371090428055159
alpha_rel_AF8__median,0.458578549159267
frontal_alpha_asym__median,0.7756577424621978
frontal_alpha_asym__iqr,0.8709978017873271
